time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-07-10T23:53:51.580Z,33.4126663,-116.3488312,9.93,1.18,ml,36.0,71.0,0.05995,0.19,ci,ci40655831,2024-07-10T23:55:54.010Z,"18 km N of Borrego Springs, CA",earthquake,0.28,0.82,0.223,13.0,automatic,ci,ci
2024-07-10T23:44:09.235Z,37.4654,-117.9404,3.4,1.4,ml,10.0,136.05,0.101,0.1783,nn,nn00880710,2024-07-10T23:46:44.569Z,"25 km SSE of Dyer, Nevada",earthquake,,3.5,0.17,9.0,automatic,nn,nn
2024-07-10T22:42:48.243Z,-21.937,-68.6262,137.773,4.0,mb,14.0,92.0,0.589,0.5,us,us7000myev,2024-07-10T23:46:56.040Z,"65 km NNE of Calama, Chile",earthquake,5.93,7.763,0.299,3.0,reviewed,us,us
2024-07-10T08:10:33.640Z,52.0936666666667,-174.223666666667,10.32,0.92,ml,6.0,335.0,0.1093,0.11,av,av93192141,2024-07-10T23:46:09.200Z,"11 km S of Atka, Alaska",earthquake,1.2,2.15,0.447852190033609,7.0,reviewed,av,av
2024-07-11T00:30:19.071Z,40.2914,-127.7151,10.0,3.1,ml,41.0,267.0,2.856,0.68,us,us7000myf3,2024-07-11T00:59:52.640Z,"294 km W of Ferndale, California",earthquake,4.49,2.023,0.043,72.0,reviewed,us,us
2024-07-11T00:21:47.193Z,-23.7785,-66.7756,214.496,4.4,mb,19.0,91.0,1.529,0.42,us,us7000myf2,2024-07-11T00:44:38.040Z,"67 km NW of San Antonio de los Cobres, Argentina",earthquake,13.01,12.529,0.18,9.0,reviewed,us,us
2024-07-11T00:20:37.584Z,31.694,-104.213,1.284,1.7,ml,12.0,178.0,0.1,0.5,tx,tx2024nmvg,2024-07-11T00:46:03.526Z,"55 km SSE of Whites City, New Mexico",earthquake,0.0,2.65837676233036,0.2,10.0,automatic,tx,tx
2024-07-11T00:16:15.590Z,46.97283172607422,-122.21600341796876,-0.230000004172325,1.6325798034667969,ml,18.0,115.0,,0.0799999982,uw,uw62015577,2024-07-11T00:18:46.240Z,"1 km SSE of Kapowsin, Washington",earthquake,0.38,0.680000007,0.2993856072425842,22.0,automatic,uw,uw
2024-07-10T23:56:15.780Z,33.1371667,-116.6433333,3.69,0.8,ml,35.0,33.0,0.0619,0.21,ci,ci40655847,2024-07-11T00:02:23.387Z,"8 km NNW of Julian, CA",earthquake,0.22,0.54,0.16,18.0,automatic,ci,ci
2024-07-10T23:52:00.425Z,-60.2889,-26.5661,10.0,5.0,mb,50.0,68.0,14.797,0.55,us,us7000myf0,2024-07-11T00:07:52.040Z,South Sandwich Islands region,earthquake,12.67,1.913,0.077,54.0,reviewed,us,us
